so2_data_quality,atmospheric_variability,aerosol_optical_depth
22,99.83,0.216
22,99.88,3.775
22,-58.17,2.471
22,99.95,4.698
22,999.0,4.954
22,99.99,5.528
22,6.52,1.409
21,66.08,0.264
22,99.92,0.415
22,99.99,2.987
22,99.87,4.315
22,95.69,3.696
22,99.95,0.324
22,98.63,0.274
21,31.06,0.268
22,75.96,0.288
22,98.15,0.4
22,76.95,0.262
22,99.98,0.468
22,99.98,4.952
22,44.05,3.981
21,51.0,0.168
22,89.25,0.148
21,25.65,0.176
22,94.58,0.273
22,99.81,2.827
22,-184.03,3.498
21,69.9,0.203
22,95.38,0.125
21,2.77,0.12
21,-1.1,0.126
21,4.47,0.134
21,4.94,0.158
21,11.2,0.203
21,28.84,0.192
21,9.66,0.15
21,45.79,0.133
21,30.71,0.125
21,20.42,0.12
21,35.13,0.147
21,7.97,0.148
22,91.82,0.146
22,99.82,0.156
21,11.82,0.146
21,4.53,0.13
22,97.63,0.123
21,6.11,0.133
21,9.35,0.142
22,91.23,0.143
22,96.17,0.139
21,70.09,0.138
21,10.06,0.14
21,10.75,0.161
21,18.51,0.162
21,7.18,0.16
21,10.89,0.139
21,67.87,0.141
21,25.17,0.135
22,88.01,0.14
21,-2.85,0.15
22,91.8,0.167
21,11.33,0.16
21,5.38,0.154
21,68.35,0.154
21,14.6,0.158
22,99.71,0.181
21,5.41,0.182
21,27.96,0.168
22,97.5,0.16
22,92.77,0.163
22,99.1,0.148
21,26.0,0.155
21,13.24,0.188
22,99.93,0.237
22,99.84,1.768
22,95.11,2.882
22,74.51,2.376
22,88.18,0.717
22,99.46,0.582
21,20.4,0.18
21,53.26,0.193
22,97.66,0.213
21,42.36,0.199
22,99.68,1.008
22,99.62,0.64
22,98.77,0.53
21,12.21,0.201
21,15.91,0.192
22,99.71,0.301
22,56.61,1.582
22,97.07,0.281
22,99.97,1.514
22,58.82,1.437
22,99.47,1.255
22,99.92,0.682
22,99.88,2.787
22,99.7,3.461
22,90.01,3.889
22,63.45,2.868
22,99.86,2.959
22,99.93,1.93
22,99.14,2.496
22,99.63,3.291
22,99.51,4.642
22,98.47,4.041
22,62.99,2.562
22,99.89,1.863
22,99.96,1.943
22,44.3,3.006
22,71.18,2.525
22,99.66,4.11
22,21.32,2.988
22,48.12,1.36
22,99.78,0.613
22,72.44,0.499
22,99.94,0.442
22,98.2,0.349
21,4.89,0.249
21,7.55,0.252
21,16.49,0.269
21,36.02,0.3
21,40.69,0.343
21,35.53,0.339
22,91.76,0.337
21,37.38,0.336
22,92.57,0.364
22,90.58,0.384
22,99.2,0.487
22,99.91,3.444
22,95.81,1.819
22,57.64,1.29
22,49.16,2.2
22,96.03,1.869
